
第１表,,,,刑法犯　罪種別　認知・検挙件数・検挙人員　対前年比較,,,,,,,,,,,,,,,暫定値,,
,,,,,,,,,,,,,,,,,,,２０２７年２月１日確定,,
,,,,,,,,,,,,,,,,,,,,,
,,認知件数,認知件数,認知件数,認知件数,検挙件数,検挙件数,検挙件数,検挙件数,検挙率,検挙率,検挙率,検挙人員,検挙人員,検挙人員,検挙人員,"検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年","検挙人員
うち)少年",
,罪種,"2026年
1～5月","2025年
1～5月",増減,増減率(％）,"2026年
1～5月","2025年
1～5月",増減,増減率(％),"2026年
1～5月","2025年
1～5月",増減ポイント,"2026年
1～5月","2025年
1～5月",増減,増減率(％),"2026年
1～5月","2025年
1～5月",増減,増減率(％),
北海道,計,78 ,159 ,-81 ,-50.9 ,62 ,113 ,-51 ,-45.1 ,10 ,23 ,-13 ,-56.5 ,79.5 ,71.1 ,8.4 
北海道,札幌方面,47 ,78 ,-31 ,-39.7 ,45 ,50 ,-5 ,-10.0 ,8 ,15 ,-7 ,-46.7 ,95.7 ,64.1 ,31.6 
北海道,函館方面,14 ,13 ,1 ,7.7 ,0 ,30 ,-30 ,-100.0 ,0 ,2 ,-2 ,-100.0 ,0.0 ,230.8 ,-230.8 
北海道,旭川方面,7 ,51 ,-44 ,-86.3 ,4 ,12 ,-8 ,-66.7 ,0 ,1 ,-1 ,-100.0 ,57.1 ,23.5 ,33.6 
北海道,釧路方面,9 ,14 ,-5 ,-35.7 ,12 ,17 ,-5 ,-29.4 ,2 ,3 ,-1 ,-33.3 ,133.3 ,121.4 ,11.9 
北海道,北見方面,1 ,3 ,-2 ,-66.7 ,1 ,4 ,-3 ,-75.0 ,0 ,2 ,-2 ,-100.0 ,100.0 ,133.3 ,-33.3 
東北,計,330 ,361 ,-31 ,-8.6 ,253 ,125 ,128 ,102.4 ,42 ,25 ,17 ,68.0 ,76.7 ,34.6 ,42.1 
東北,青森県,42 ,23 ,19 ,82.6 ,39 ,17 ,22 ,129.4 ,9 ,6 ,3 ,50.0 ,92.9 ,73.9 ,19.0 
東北,岩手県,24 ,34 ,-10 ,-29.4 ,10 ,22 ,-12 ,-54.5 ,7 ,5 ,2 ,40.0 ,41.7 ,64.7 ,-23.0 
東北,宮城県,131 ,132 ,-1 ,-0.8 ,148 ,27 ,121 ,448.1 ,10 ,7 ,3 ,42.9 ,113.0 ,20.5 ,92.5 
